Report Level 3,BM001413,BM001414,BM001415,BM001416
GABA,16.724169654529135,16.311089113648976,16.643729207298602,16.697103592684574
Serotonin,12.083992855305384,11.354211963968304,12.145696303842461,12.428362318947132
Tryptophan,17.68871793225617,17.30508657752044,17.60464716089012,17.592988900164688
Trimethylamine N-oxide (TMAO),15.823750604024083,15.538280189086983,15.71594563976165,15.709913080728228
Indole & Indole Derivatives,12.556908343808967,11.784377198438184,13.260063892332386,13.337804457144406
Cysteine Derivatives,17.490535001980653,17.21772953322821,17.49453222597528,17.516677563479917
Bile Acid Pool,16.095546917976346,15.350866858569075,15.779905142482907,15.647029163073086
Imidazole Propionate,14.881360320359839,12.910575278215571,14.872378933929477,15.365131315011984
Oxidative stress,12.843400943693506,12.735689287239754,12.74850037506921,12.906521101898354
Branched Chain Amino Acids,17.210342464474607,16.750362075573275,17.07801994912635,17.047010699618927
Butyrate (SCFA),18.099828025880942,17.724248262101625,18.062108536790493,18.121274967131722
Lactate,19.370355678506257,19.05647773081478,19.269956139644872,19.222156355344254
Carbohydrates,18.59619960918259,18.18119317138004,18.551708509794132,18.55186019998124
Proteins,17.711800002173263,17.289797356401106,17.641162201658695,17.67553484122699
Fats,16.4013126249259,15.841696275078789,16.316017374146988,16.332304716835065
Vitamin B1,17.441034595320147,17.03813822536079,17.367832705205597,17.32005614558274
Vitamin B6,18.1367328106308,17.762962621291692,17.85960941424481,17.7817902868192
Vitamin B7,16.8338074606279,16.419922234206084,16.96408175693063,16.97211680445181
Vitamin B9,18.842784740652426,18.430349741687706,18.772076208150065,18.82579233497634
Vitamin B12,16.87924339804706,16.652136814558144,17.045389976733667,16.837789363833195
