Report Level 3,SRR11574864,SRR11574868,SRR11574870,SRR11574871,SRR11574872,SRR11574873,SRR11574875,SRR11574876,SRR11574879,SRR11574884,SRR11574885,SRR11574886,SRR11574887,SRR11574888
GABA,16.227170268393806,16.80369032875458,16.43839809959924,16.485641046220685,16.195305517744526,16.858206758070104,16.424396464117283,16.61091152019883,16.168198399495157,15.947048403795,16.505622970798093,16.25103972218303,16.058198490565243,15.985876272185408
Serotonin,11.302883464429609,11.784855976420857,11.710893844942277,12.189287617079033,11.072317804034967,11.737083921302343,11.866422909057754,12.024088968463646,11.238301967528658,10.476471002596895,11.794267649440462,11.293516021086898,10.778009101081038,10.606799563303392
Tryptophan,17.149470248642487,17.894397567034126,17.339931081758237,17.18162192807811,16.98004457290873,17.440571284230348,17.338501093387894,17.33273822690488,17.045149683068118,16.827529082071845,17.334485541810302,17.054710380677395,16.927143651078527,16.880040439796847
Trimethylamine N-oxide (TMAO),14.899621266905061,15.64868029836643,15.46249268697647,15.04780512808197,14.586002936948224,14.59706438113408,15.590875010518024,15.158167850428065,14.864226294205714,14.66171965408078,15.317688180639927,13.907435260439803,14.505508273301599,14.24244322575715
Indole & Indole Derivatives,11.20987977495864,9.873367207744929,9.58837734277071,10.52886429748249,9.490509963417539,10.724752577228102,10.421275905290555,9.709359570192678,10.23627734609819,8.403139878622055,12.022669498955562,7.236301266827087,8.381456430146994,8.117435317564027
Cysteine Derivatives,16.94466146335526,17.496955205517548,17.328610928051777,17.458509643181884,16.905338605661434,17.350693855583845,17.427047569342196,17.32170066581635,16.799077994468337,16.8166070559,17.292598978356622,16.97873183932383,16.769694914924308,16.827310050681557
Bile Acid Pool,14.14114680299324,15.609568770711427,14.842491040572943,15.672540948528685,14.894480776238153,15.826639596246327,15.18955839075208,15.369261646176167,13.44074720801912,14.206863650153474,15.497515848680184,14.83899360944769,14.078959261123273,13.3861049859136
Imidazole Propionate,15.36726981236259,14.509758924817293,15.252217477054609,15.958413604648536,14.86823095745948,16.82998512367875,14.359834195399836,14.450176805420334,15.358216204793683,13.14162182162513,15.22894016481256,14.606934524052665,14.672552411995456,13.88137147711439
Oxidative stress,12.34453171379466,12.597715056215522,12.036831846556886,12.327427258890587,11.42506727182335,11.782980482166993,12.319292008785155,13.850901101597884,12.40599679897605,10.69849918528088,12.343551257387059,11.60610442708672,11.826336635485582,11.230200611178786
Branched Chain Amino Acids,16.24007415275457,17.206574822268475,16.576320623034277,16.562910730929516,16.370007918880248,16.772594400182676,16.752854497967714,16.726278615898057,16.1744200871005,16.156006354024477,16.74374673937441,16.33148393699624,16.126573811405155,16.182232747299853
Butyrate (SCFA),17.733051407152963,18.155180809508405,17.99480542375541,17.995146562401747,17.55502418444709,18.315008438914514,17.96334442537543,17.87798205404227,17.62927808629713,17.379266434891303,17.981788115247642,17.5635742768207,17.511508626369256,17.43897586192889
Lactate,18.737742325495127,19.531709408655534,18.909333677050178,18.837537369249663,18.41890854623417,18.980067836706283,18.959938934152138,18.933084036057018,18.46886889435974,18.297519693122084,18.902940722817284,18.579998212085634,18.377694341918083,18.29715404326849
Carbohydrates,17.96401574076324,18.76590846991202,18.159327290534005,18.300243320809972,17.945931020336346,18.658703964363976,18.18542526315044,18.44937794555412,17.800729684312984,17.630263297840745,18.33090328365309,18.125687239824018,17.657574962268864,17.639154771608684
Proteins,17.164296670283836,17.786694435367757,17.39936733821812,17.467325193557823,17.08949600325264,17.725752836571957,17.41119956047411,17.518655989952943,17.06881067613282,16.84018361133727,17.456755333796455,17.195755629941807,16.973229906664073,16.899501990040253
Fats,15.492880134301275,16.34716191558542,15.83207185460851,16.063176397821252,15.613967557727172,16.25253908023849,15.895951630909877,16.17202166819361,15.299393663976053,15.234542417354572,16.017105349490702,15.673059133279287,15.10104183006208,15.08347565826116
Vitamin B1,16.92893685873678,17.613312261012933,17.094735232282126,17.183812436653344,17.093461760690072,17.67318130597308,17.017864698214254,17.284950353103515,16.871550594894867,16.98517302157451,17.281922743753324,17.145626442024128,16.907124544955575,16.954923110330682
Vitamin B6,17.59024107402657,18.188966586658445,17.62238973273774,17.467168949538348,17.466142197759183,17.966213563451927,17.582806071103445,17.747678630750748,17.53236155700014,17.468563808729037,17.696485506270793,17.736407200163516,17.505373183592834,17.668196648789156
Vitamin B7,16.5103569928503,17.3387180615535,16.732700518960506,16.835698344445337,16.667410561426248,17.598024111366968,16.654851728648616,17.01613735161436,16.38206500903991,16.203445701268073,16.947823734321442,16.784827450174326,16.327441139654617,16.352807533741945
Vitamin B9,18.39786140788925,18.97176138011229,18.495437417183492,18.582773981762468,18.315977558267765,18.984478950998593,18.444091242685126,18.694396012404667,18.29452425654994,18.073393242403892,18.556503898126824,18.375822329323988,18.245739619580867,18.167546952068765
Vitamin B12,16.043437833446735,17.336476076209504,16.51907082493932,16.112409503267312,16.33584876080927,16.943359759765443,16.574621123050857,16.60424984582153,15.868787501970827,16.124966720428908,16.656085193027128,16.313365095103393,15.760100346856126,15.83753626886652
